NbrTotalDeCollection, AverageWeeksWithoutExchange, AverageWeeksWithExchange
473,1596,1537
474,1601,1543
475,1606,1545
476,1614,1550
477,1597,1557
478,1600,1556
479,1621,1559
480,1627,1565
481,1621,1568
482,1607,1571
483,1614,1575
484,1631,1580
485,1624,1580
486,1646,1586
487,1644,1585
488,1655,1589
489,1663,1595
490,1647,1596
491,1655,1597
492,1657,1604
493,1676,1605
494,1671,1612
495,1661,1608
496,1683,1617
497,1681,1621
498,1672,1626
499,1697,1625
500,1702,1629
