NbrTotalDeCollection, AverageWeeksWithoutExchange, AverageWeeksWithExchange
477,3241,1003
478,3237,1002
479,3260,1005
480,3238,1008
481,3240,1009
482,3306,1012
483,3276,1014
484,3271,1016
485,3281,1019
486,3259,1021
487,3317,1024
488,3299,1024
489,3314,1026
490,3363,1029
491,3324,1030
492,3324,1032
493,3338,1035
494,3348,1037
495,3372,1039
496,3365,1041
497,3384,1045
498,3379,1044
499,3397,1046
500,3414,1049
501,3363,1051
502,3391,1054
503,3437,1056
504,3414,1058
505,3437,1059
506,3456,1062
507,3467,1064
508,3466,1066
509,3475,1069
510,3492,1072
511,3471,1075
512,3525,1076
513,3517,1077
514,3496,1079
515,3531,1082
516,3522,1082
517,3531,1087
518,3553,1087
519,3511,1088
520,3534,1092
521,3519,1094
522,3560,1096
523,3576,1098
524,3560,1100
525,3600,1101
526,3575,1106
527,3577,1106
528,3633,1111
529,3663,1110
530,3607,1112
531,3600,1116
532,3671,1116
533,3661,1119
534,3690,1122
535,3687,1124
536,3650,1124
537,3640,1127
538,3659,1129
539,3693,1133
540,3687,1134
541,3727,1135
542,3738,1138
543,3705,1139
544,3749,1142
545,3714,1143
546,3764,1146
547,3777,1148
548,3761,1150
549,3797,1153
550,3813,1155
551,3830,1157
552,3806,1158
553,3852,1162
554,3837,1164
555,3827,1168
556,3809,1168
557,3805,1170
558,3869,1171
559,3896,1174
560,3875,1176
561,3892,1178
562,3857,1181
563,3895,1183
564,3887,1184
565,3919,1187
566,3890,1188
567,3901,1192
568,3950,1191
569,3957,1194
570,3924,1197
571,3998,1199
572,3929,1199
573,3956,1203
574,4019,1205
575,4030,1207
576,3969,1210
577,3982,1212
578,4031,1213
579,4015,1215
580,4006,1217
581,4054,1220
582,4005,1223
583,4047,1224
584,4080,1226
585,4089,1229
586,4052,1230
587,4027,1232
588,4080,1233
589,4081,1236
590,4080,1239
591,4064,1241
592,4117,1243
593,4133,1245
594,4079,1249
595,4127,1249
596,4125,1252
597,4178,1253
598,4185,1256
599,4198,1258
600,4202,1261
601,4208,1262
602,4203,1265
603,4225,1266
604,4175,1268
605,4278,1269
606,4214,1272
607,4217,1273
608,4232,1276
609,4308,1278
610,4270,1281
611,4278,1284
612,4246,1284
613,4287,1285
614,4276,1289
615,4311,1290
616,4335,1293
617,4324,1295
618,4327,1295
619,4301,1299
620,4366,1302
621,4394,1305
622,4341,1307
623,4367,1309
624,4395,1310
625,4432,1311
626,4383,1315
627,4417,1317
628,4405,1319
629,4420,1323
630,4411,1323
631,4456,1326
632,4403,1327
633,4471,1329
634,4452,1333
635,4457,1334
636,4453,1335
637,4510,1339
638,4499,1340
639,4515,1341
640,4502,1343
641,4488,1344
642,4515,1348
643,4540,1349
644,4561,1351
645,4577,1354
646,4527,1356
647,4557,1359
648,4559,1360
649,4573,1363
650,4601,1365
651,4558,1365
652,4605,1368
653,4631,1371
654,4636,1373
655,4625,1374
656,4642,1377
657,4680,1380
658,4631,1381
659,4679,1384
660,4611,1385
661,4683,1387
662,4710,1388
663,4691,1393
664,4668,1394
665,4724,1397
666,4760,1399
667,4734,1401
668,4769,1403
669,4739,1404
670,4707,1405
671,4789,1408
672,4795,1410
673,4751,1413
674,4791,1415
675,4834,1417
676,4847,1420
677,4820,1422
678,4821,1424
679,4851,1426
680,4848,1430
681,4837,1428
682,4835,1431
683,4836,1434
684,4871,1437
685,4855,1438
686,4890,1440
687,4875,1445
688,4901,1446
689,4859,1446
690,4898,1449
691,4907,1451
692,4915,1453
693,4938,1457
694,4972,1456
695,4959,1460
696,4943,1462
697,5043,1464
698,4969,1466
699,4904,1467
700,5005,1469
701,4972,1471
