NbrTotalDeCollection, AverageWeeksWithoutExchange, AverageWeeksWithExchange
527,718,372
528,720,363
529,714,359
530,729,365
531,725,359
532,725,348
533,727,379
534,728,367
535,733,372
536,732,391
537,730,374
538,736,370
539,725,380
540,741,383
541,737,372
542,749,391
543,749,378
544,748,391
545,749,370
546,744,384
547,756,376
548,760,382
549,749,392
550,755,382
551,748,374
552,750,387
553,768,389
554,761,381
555,761,385
556,769,386
557,768,389
558,771,383
559,770,385
560,771,398
561,767,402
562,776,393
563,782,401
564,787,390
565,772,397
566,778,417
567,786,406
568,776,410
569,789,406
570,791,403
571,789,395
572,789,416
573,790,406
574,799,404
575,800,408
576,798,407
577,799,400
578,801,417
579,802,416
580,803,404
581,795,408
582,806,411
583,817,411
584,816,417
585,803,411
586,811,412
587,814,409
588,824,409
589,822,422
590,818,415
591,821,418
592,820,412
593,815,434
594,839,422
595,830,410
596,830,413
597,827,423
598,825,418
599,824,405
600,831,431
601,833,411
602,833,437
603,839,420
604,838,426
605,843,423
606,848,433
607,857,434
608,847,428
609,847,435
610,851,447
611,853,415
612,852,438
613,857,431
614,859,428
615,867,450
616,857,431
617,864,464
618,863,428
619,865,433
620,872,428
621,874,439
622,866,459
623,871,444
624,869,427
625,875,444
626,866,459
627,884,442
628,882,437
629,880,444
630,881,427
631,887,455
632,883,435
633,887,447
634,897,462
635,890,458
636,905,451
637,897,438
638,895,458
639,891,446
640,905,455
641,906,453
642,895,447
643,900,456
644,908,457
645,896,468
646,907,464
647,914,445
648,908,467
649,911,454
650,918,462
651,917,465
652,915,469
653,912,457
654,916,460
655,931,473
656,928,455
657,925,466
658,930,469
659,928,469
660,930,479
661,937,463
662,930,461
663,934,466
664,934,473
665,940,456
666,944,487
667,942,483
668,949,481
669,943,474
670,948,485
671,947,483
672,949,480
673,956,483
674,950,472
675,966,489
676,957,492
677,956,487
678,960,485
679,963,482
680,957,492
681,955,478
682,970,476
683,971,496
684,969,489
685,973,490
686,967,479
687,976,518
688,978,503
689,976,503
690,976,477
691,986,494
692,982,512
693,980,510
694,993,492
695,996,486
696,987,488
697,984,515
698,995,488
699,999,511
700,997,485
701,998,508
702,1004,507
703,996,499
704,1007,508
705,1008,502
706,1012,493
707,1007,515
708,1005,508
709,1014,501
710,1015,502
711,1012,519
712,1013,515
713,1016,515
714,1024,517
715,1016,496
716,1023,530
717,1028,514
718,1016,524
719,1025,521
720,1032,511
721,1029,515
722,1024,525
723,1034,545
724,1028,521
725,1035,526
726,1045,513
727,1025,497
728,1042,513
729,1035,530
730,1042,527
731,1043,518
732,1056,526
733,1061,548
734,1048,528
735,1062,530
736,1057,538
737,1054,512
738,1055,508
739,1073,540
740,1063,544
741,1073,553
742,1059,539
743,1063,541
744,1072,538
745,1065,540
746,1074,517
747,1061,544
748,1079,538
749,1071,545
750,1077,546
751,1086,543
752,1090,539
753,1091,558
754,1086,561
755,1082,532
756,1075,559
757,1085,542
758,1072,544
759,1084,562
760,1088,561
761,1104,567
762,1099,526
763,1088,550
764,1094,551
765,1111,552
766,1107,562
767,1100,562
768,1105,529
769,1114,562
770,1104,551
771,1114,552
772,1116,559
773,1115,574
774,1115,547
775,1118,557
776,1123,561
777,1117,561
778,1113,555
779,1119,580
780,1130,568
781,1145,551
782,1129,534
783,1138,564
784,1126,580
785,1139,577
786,1134,576
787,1142,569
788,1137,561
789,1151,569
790,1136,557
791,1158,562
792,1145,549
793,1159,583
794,1154,575
795,1163,567
796,1156,573
797,1158,599
798,1156,594
799,1161,562
800,1166,559
801,1165,587
802,1174,560
803,1166,578
804,1158,575
805,1177,570
806,1161,586
807,1162,580
808,1176,603
809,1174,569
810,1180,568
811,1185,588
812,1175,570
813,1167,585
814,1182,607
815,1175,595
816,1198,572
817,1180,599
818,1184,609
819,1196,581
820,1193,593
821,1180,585
822,1215,594
823,1196,596
824,1202,591
825,1195,613
826,1198,590
827,1205,604
828,1206,599
829,1203,619
830,1219,610
831,1202,599
832,1212,607
833,1205,619
834,1198,628
835,1219,609
836,1221,604
837,1221,602
838,1239,603
839,1221,587
840,1228,602
841,1228,611
842,1228,606
843,1237,613
844,1226,620
845,1234,600
846,1227,625
847,1234,634
848,1232,644
849,1233,611
850,1242,616
851,1246,626
852,1265,628
853,1256,593
854,1245,639
855,1269,627
856,1241,626
857,1257,644
858,1245,636
859,1252,622
860,1273,612
861,1256,651
862,1270,624
863,1263,617
864,1263,627
865,1269,636
866,1253,635
867,1271,625
868,1271,661
869,1264,641
870,1274,627
871,1282,636
872,1281,630
873,1277,662
874,1281,666
875,1287,636
876,1290,629
877,1291,643
878,1292,625
879,1285,622
880,1296,624
881,1297,656

