NbrTotalDeCollection, AverageWeeksWithoutExchange, AverageWeeksWithExchange
466,3141,1186
467,3142,1187
468,3162,1191
469,3144,1193
470,3168,1196
471,3148,1199
472,3189,1203
473,3165,1204
474,3188,1206
475,3194,1209
476,3216,1209
477,3207,1215
478,3257,1219
479,3218,1221
480,3240,1224
481,3232,1223
482,3235,1226
483,3261,1230
484,3274,1232
485,3259,1237
486,3349,1236
487,3298,1239
488,3319,1242
489,3334,1242
490,3349,1248
491,3355,1249
492,3306,1253
493,3361,1255
494,3317,1258
495,3362,1261
496,3390,1264
497,3370,1265
498,3376,1268
499,3398,1272
500,3384,1274
